year_month,manage_city,bus_type,station_id,station_no,station_name,pass_route_cnt
2023,수원시,일반,202000208,3015,수원역.노보텔수원,32
2023,수원시,일반,201000167,2060,오목천동사거리,15
2023,수원시,일반,201000166,2055,오목천역.영신여자고교.청구아파트,15
2023,수원시,일반,200000074,1220,지지대교차로,11
2023,수원시,일반,200000095,1117,정자종합시장,6
2023,수원시,일반,200000114,1105,두견마을,6
2023,수원시,일반,200000326,1300,SK스카이뷰,1
2023,수원시,일반,200000324,1298,SK스카이뷰.다솔초등학교,1
2023,수원시,일반,203000280,4270,수원고등법원.수원고등검찰청.광교호수공원,3
2023,수원시,일반,203000290,4371,광교호반베르디움,2
2023,수원시,일반,203000295,4284,소화초등학교,8
2023,수원시,일반,203000307,4281,광교차고지.연화장입구,8
2023,수원시,일반,203000151,4063,방죽공원.영통힐스테이트.쌍용아파트,20
2023,수원시,일반,203000177,4058,KT동수원지사,18
2023,수원시,일반,203000216,4027,매원중학교,4
2023,수원시,일반,203000219,4218,망포늘푸른벽산아파트후문,2
2023,수원시,일반,203000189,4202,광교더샵주상복합,2
2023,수원시,일반,203000171,4039,아주대병원,7
2023,수원시,일반,203000175,4086,광교호수공원입구.원천교사거리,17
2023,수원시,일반,201000061,2150,평동행정복지센터,1
2023,수원시,일반,201000058,2159,동남아파트.세평지하도입구,2
2023,수원시,일반,201000086,2178,수원역해모로아파트.유천교,1
2023,수원시,일반,203000050,4189,지역난방공사.신나무실쌍용아파트,8
2023,수원시,일반,200000247,1236,연무동,12
2023,수원시,일반,200000246,1237,조원고등학교,3
2023,수원시,일반,201000005,2238,KT남수원지사,3
2023,수원시,일반,201000006,2235,권선사거리.SK뷰아파트,5
2023,수원시,일반,201000008,2217,한양아파트,7
2023,수원시,일반,201000011,2207,공군관사,5
2023,수원시,일반,203000046,4174,수원광교박물관.광교카페거리,7
2023,수원시,일반,201000583,2976,곡정고.수원아이파크시티7단지아파트,1
2023,수원시,일반,200000039,1112,정자2동주민센터.수성고등학교,2
2023,수원시,일반,202000014,3107,인계선경아파트,21
2023,수원시,일반,202000016,3101,수원고용복지플러스센터.동수원병원.라마다호텔,21
2023,수원시,일반,201000588,2981,수원역환승센터(2승강장),5
2023,수원시,일반,201000137,2106,우방아파트,2
2023,수원시,일반,201000591,2984,수원역환승센터(5승강장),6
2023,수원시,일반,202000223,3020,고등동구터미널,18
2023,수원시,일반,201000004,2237,KT남수원지사,3
2023,수원시,일반,201000103,0,하나로마트(곡반정점),2
2023,수원시,일반,201000115,0,하나로마트(곡반정점),2
2023,수원시,일반,201000152,2082,청구1차아파트,4
2023,수원시,일반,201000040,2225,비상활주로.곡반정동입구,11
2023,수원시,일반,203000081,4088,원일초교,3
2023,수원시,일반,200000169,1202,경기대수원캠퍼스입구.연무시장,4
2023,수원시,일반,201000019,2128,연안아파트.삼성큰병원,27
2023,수원시,일반,202000202,3037,화서문로터리,19
2023,수원시,일반,203000256,4256,수원원일중학교.매원고등학교,1
2023,수원시,일반,203000264,4264,광교한양수자인.호반가든하임,4
2023,수원시,일반,202000101,3191,매교역7번출구.푸르지오SK뷰G4,8
2023,수원시,일반,202000096,3179,화서위브하늘채,6
2023,수원시,일반,203000396,4390,광교2동주민센터,1
2023,수원시,일반,203000428,4415,광교사회복지관,1
2023,수원시,일반,203000405,4011,영통SK뷰아파트.라온프라이빗아파트,3
2023,수원시,일반,203000023,4046,삼성전자중앙문,4
2023,수원시,일반,203000316,4308,광교파크자이더테라스.열림공원,2
2023,수원시,일반,203000341,4320,광교호반베르디움트라엘.광교해모로,2
2023,수원시,일반,203000346,4326,망포역3번출구.망포그대가프리미어.골든스퀘어,21
2023,수원시,일반,200000053,1144,수성중학교.영화동행정복지센터,1
2023,수원시,일반,201000229,2076,농수산물유통센터,7
2023,수원시,일반,201000259,2135,서둔동,3
2023,수원시,일반,201000315,2844,경기대명고등학교,2
2023,수원시,일반,201000330,2283,웅비아파트,2
2023,수원시,일반,201000322,2836,금곡동강남아파트,8
2023,수원시,일반,201000250,2045,칠보입구,2
2023,수원시,일반,201000257,2148,서호초등학교,5
2023,수원시,일반,201000269,2194,매교역3번출구.성원아파트,8
